1) HTML stands for?;a. Hyper Text Markup Language;b. High Text Markup Language;c. Hyper Tabular Markup Language;d. None of above;a;a. Hyper Text Markup Language
2) Which of the following tag is used to mark a beginning of paragraph?;a. <TD>;b. <br>;c. <P>;d. <TR>;c;c. <P>
3) From wich tag descriptive list starts?;a. <LL>;b. <DD>;c. <DL>;d. <DS>;c;c. <DL>
4) Which of the following HTML atrribute is used to define inline styles?;a. type;b. class;c. style;d. None of above;c;c. style
5) A program in HTML can be rendered and read by?;a. server;b. web browser;c. interpreter;d. client;b;b. web server
6) The tag in HTML are;a. case-sensitive;b. in upper case;d. in lower case;d. not case sensitive;d;d. not case sensitive
7) Which of the following is the root tag of the HTML?;a. <body>;b. <head>;c. <title>;d. <html>;d;d. <html>
8) Which of the following are the attributes of the tag?;a. method;b. action;c. both (a) and (b);d. None of above;c;c. both (a) and (b)
9) HTML tags are enclosed in?;a. <and>;b. (and);c. #and#;d. !and!;a;a. <and>
10) The <hr> tag is used for?;a. new line;b. vertical ruler;c. new paagreph;d. horizontal ruler;d;d. horizontal ruler
